"speaker_listener","Length","Ppron","Inhib","Space","Filler","Ipron","Time","Percept","Verbs","Quant","Discrep","Relativ","You","Article","Cause","Prep","Relig","Bio","We","Assent","Incl","Leisure","AuxVb","Hear","They","Posemo","Affect","Excl","Home","Friends","SheHe","Numbers","Body","I","Work","Tentat","Ingest","Motion","Anger","Achiev","Swear","Death","Social","CogMech","Nonflu","Family","Pronoun","Funct","Feel","Certain","Insight","Humans","Sad","Past","See","Future","Adverbs","Present","Money","Negate","Health","Conj","Anx","Negemo","Sexual"
"TROILUS_THERSITES",698,39.0,3.0,20.0,0.0,24.0,9.0,15.0,66.0,13.0,7.0,36.0,11.0,5.0,54.0,17.0,15.0,1.0,0.0,22.0,1.0,52.0,4.0,1.0,24.0,35.0,18.0,1.0,0.0,11.0,30.0,2.0,7.0,12.0,1.0,5.0,3.0,3.0,5.0,9.0,1.0,2.0,40.0,70.0,0.0,1.0,63.0,258.0,4.0,11.0,7.0,2.0,2.0,25.0,5.0,16.0,15.0,14.0,0.0,18.0,2.0,33.0,2.0,11.0,3.0
"MENELAUS_CRESSIDA",85,11.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,1.0,6.0,3.0,1.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,12.0,26.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
"ULYSSES_PATROCLUS",1409,95.0,2.0,78.0,6.0,50.0,51.0,26.0,95.0,30.0,10.0,150.0,17.0,13.0,141.0,17.0,38.0,10.0,0.0,45.0,5.0,59.0,5.0,13.0,69.0,82.0,25.0,3.0,5.0,15.0,65.0,13.0,27.0,13.0,4.0,24.0,1.0,26.0,5.0,19.0,1.0,1.0,147.0,139.0,0.0,6.0,145.0,535.0,4.0,18.0,17.0,11.0,3.0,58.0,14.0,12.0,29.0,56.0,5.0,18.0,1.0,60.0,2.0,12.0,10.0
"CRESSIDA_AENEAS",286,26.0,1.0,4.0,0.0,8.0,8.0,10.0,30.0,1.0,1.0,18.0,12.0,2.0,15.0,9.0,8.0,1.0,0.0,7.0,0.0,20.0,2.0,0.0,11.0,17.0,4.0,0.0,0.0,2.0,14.0,1.0,6.0,12.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,2.0,21.0,28.0,1.0,5.0,34.0,104.0,3.0,7.0,2.0,0.0,3.0,12.0,3.0,11.0,11.0,1.0,0.0,8.0,0.0,11.0,0.0,5.0,2.0
"TROILUS_PATROCLUS",94,12.0,2.0,2.0,0.0,1.0,2.0,2.0,8.0,2.0,0.0,6.0,5.0,0.0,7.0,2.0,4.0,1.0,0.0,2.0,1.0,5.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,13.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0
"CRESSIDA_THERSITES",424,42.0,5.0,8.0,0.0,21.0,16.0,12.0,47.0,8.0,2.0,31.0,16.0,2.0,19.0,4.0,10.0,4.0,0.0,11.0,0.0,30.0,2.0,0.0,14.0,18.0,13.0,0.0,1.0,1.0,31.0,2.0,7.0,20.0,2.0,4.0,0.0,7.0,2.0,4.0,0.0,0.0,32.0,48.0,2.0,0.0,63.0,155.0,0.0,4.0,4.0,1.0,0.0,4.0,7.0,14.0,10.0,2.0,1.0,17.0,0.0,7.0,0.0,3.0,3.0
"AGAMEMNON_AENEAS",452,30.0,0.0,10.0,0.0,13.0,9.0,8.0,45.0,16.0,4.0,27.0,12.0,2.0,40.0,6.0,11.0,8.0,0.0,13.0,0.0,31.0,3.0,5.0,17.0,21.0,10.0,1.0,1.0,1.0,29.0,4.0,8.0,2.0,1.0,8.0,0.0,7.0,3.0,3.0,0.0,0.0,45.0,49.0,2.0,0.0,43.0,173.0,4.0,10.0,6.0,1.0,1.0,15.0,1.0,10.0,7.0,5.0,0.0,8.0,1.0,16.0,0.0,4.0,2.0
"PARIS_HELENUS",229,11.0,1.0,11.0,0.0,7.0,1.0,2.0,18.0,3.0,3.0,19.0,0.0,0.0,26.0,1.0,6.0,3.0,0.0,6.0,1.0,16.0,1.0,0.0,10.0,19.0,4.0,0.0,0.0,3.0,9.0,2.0,2.0,4.0,1.0,4.0,0.0,5.0,4.0,3.0,0.0,1.0,14.0,17.0,1.0,0.0,18.0,91.0,0.0,0.0,1.0,1.0,1.0,13.0,1.0,6.0,6.0,5.0,0.0,5.0,3.0,13.0,3.0,9.0,1.0
"AENEAS_NESTOR",663,43.0,2.0,25.0,1.0,25.0,12.0,20.0,59.0,19.0,2.0,46.0,8.0,5.0,60.0,10.0,23.0,0.0,0.0,20.0,0.0,34.0,10.0,6.0,35.0,40.0,8.0,1.0,0.0,4.0,38.0,10.0,18.0,2.0,4.0,10.0,0.0,7.0,1.0,19.0,0.0,1.0,70.0,61.0,1.0,1.0,68.0,249.0,4.0,9.0,9.0,3.0,1.0,23.0,6.0,11.0,9.0,31.0,2.0,7.0,1.0,29.0,2.0,5.0,4.0
"CRESSIDA_PATROCLUS",87,9.0,0.0,0.0,0.0,1.0,3.0,0.0,17.0,1.0,0.0,4.0,6.0,1.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,7.0,0.0,0.0,10.0,34.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,3.0,0.0,5.0,0.0,0.0,3.0
"AENEAS_ACHILLES",184,8.0,0.0,6.0,1.0,6.0,3.0,4.0,21.0,7.0,1.0,11.0,4.0,3.0,13.0,0.0,4.0,0.0,0.0,5.0,0.0,13.0,1.0,2.0,9.0,9.0,4.0,1.0,0.0,1.0,12.0,8.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,6.0,0.0,0.0,12.0,21.0,1.0,0.0,14.0,73.0,2.0,3.0,2.0,1.0,0.0,7.0,1.0,5.0,3.0,2.0,0.0,3.0,0.0,9.0,0.0,0.0,1.0
"MENELAUS_ALL",28,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"NESTOR_SOLDIERS",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PANDARUS_BOY",606,63.0,1.0,14.0,0.0,11.0,21.0,11.0,61.0,7.0,7.0,47.0,24.0,6.0,35.0,3.0,7.0,3.0,0.0,14.0,2.0,39.0,2.0,6.0,9.0,16.0,7.0,4.0,0.0,7.0,28.0,1.0,4.0,15.0,1.0,5.0,0.0,12.0,3.0,2.0,0.0,2.0,75.0,43.0,1.0,5.0,74.0,207.0,4.0,10.0,1.0,5.0,2.0,18.0,4.0,16.0,27.0,18.0,5.0,4.0,1.0,19.0,1.0,7.0,2.0
"TROILUS_DIOMEDES",527,73.0,4.0,13.0,0.0,8.0,8.0,11.0,51.0,8.0,4.0,32.0,32.0,3.0,35.0,14.0,14.0,5.0,0.0,12.0,2.0,37.0,4.0,1.0,16.0,24.0,10.0,1.0,0.0,2.0,23.0,0.0,9.0,20.0,2.0,1.0,1.0,8.0,4.0,5.0,1.0,2.0,67.0,39.0,1.0,1.0,81.0,200.0,4.0,5.0,2.0,2.0,1.0,13.0,1.0,17.0,10.0,15.0,2.0,10.0,3.0,17.0,2.0,8.0,1.0
"PANDARUS_HECTOR",89,7.0,0.0,2.0,0.0,6.0,1.0,3.0,7.0,1.0,0.0,5.0,3.0,0.0,5.0,1.0,5.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,13.0,37.0,0.0,0.0,1.0,3.0,1.0,5.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,0.0,5.0,2.0
"HECTOR_CRESSIDA",628,78.0,3.0,12.0,1.0,16.0,16.0,15.0,41.0,12.0,9.0,32.0,30.0,4.0,45.0,5.0,16.0,6.0,1.0,14.0,3.0,29.0,3.0,5.0,21.0,27.0,10.0,1.0,0.0,5.0,19.0,2.0,12.0,29.0,2.0,4.0,1.0,4.0,5.0,8.0,0.0,5.0,73.0,61.0,3.0,10.0,94.0,232.0,5.0,8.0,9.0,2.0,0.0,13.0,7.0,13.0,18.0,8.0,2.0,11.0,2.0,19.0,0.0,6.0,1.0
"AJAX_NESTOR",483,46.0,0.0,4.0,0.0,6.0,9.0,5.0,49.0,6.0,6.0,19.0,18.0,6.0,24.0,1.0,12.0,6.0,0.0,13.0,2.0,34.0,2.0,0.0,19.0,27.0,9.0,0.0,1.0,5.0,24.0,1.0,9.0,11.0,2.0,6.0,0.0,6.0,6.0,12.0,0.0,2.0,58.0,46.0,0.0,4.0,52.0,159.0,1.0,2.0,5.0,6.0,0.0,14.0,2.0,14.0,13.0,18.0,1.0,6.0,2.0,16.0,1.0,8.0,1.0
"AENEAS_PARIS",425,25.0,0.0,11.0,1.0,11.0,10.0,6.0,41.0,13.0,3.0,26.0,10.0,4.0,36.0,2.0,13.0,5.0,0.0,13.0,0.0,23.0,1.0,2.0,18.0,20.0,9.0,4.0,1.0,6.0,25.0,8.0,7.0,3.0,5.0,6.0,1.0,4.0,1.0,8.0,0.0,2.0,35.0,47.0,2.0,0.0,36.0,160.0,3.0,9.0,8.0,5.0,0.0,17.0,2.0,7.0,11.0,6.0,3.0,5.0,2.0,17.0,1.0,2.0,3.0
"AENEAS_CALCHAS",31,4.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"MENELAUS_PATROCLUS",85,11.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,1.0,6.0,3.0,1.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,12.0,26.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
"CRESSIDA_CALCHAS",424,42.0,5.0,8.0,0.0,21.0,16.0,12.0,47.0,8.0,2.0,31.0,16.0,2.0,19.0,4.0,10.0,4.0,0.0,11.0,0.0,30.0,2.0,0.0,14.0,18.0,13.0,0.0,1.0,1.0,31.0,2.0,7.0,20.0,2.0,4.0,0.0,7.0,2.0,4.0,0.0,0.0,32.0,48.0,2.0,0.0,63.0,155.0,0.0,4.0,4.0,1.0,0.0,4.0,7.0,14.0,10.0,2.0,1.0,17.0,0.0,7.0,0.0,3.0,3.0
"AGAMEMNON_ACHILLES",337,18.0,1.0,8.0,0.0,10.0,10.0,7.0,23.0,10.0,2.0,25.0,7.0,0.0,33.0,3.0,6.0,4.0,0.0,14.0,1.0,14.0,3.0,3.0,18.0,25.0,2.0,0.0,0.0,0.0,17.0,0.0,5.0,1.0,0.0,2.0,0.0,6.0,2.0,1.0,0.0,0.0,29.0,28.0,2.0,1.0,28.0,113.0,2.0,5.0,1.0,2.0,1.0,15.0,1.0,3.0,6.0,4.0,0.0,3.0,1.0,8.0,1.0,7.0,0.0
"CASSANDRA_HELENUS",123,5.0,0.0,2.0,0.0,2.0,1.0,2.0,5.0,2.0,1.0,7.0,0.0,0.0,6.0,1.0,2.0,2.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,9.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,1.0,7.0,30.0,0.0,2.0,0.0,1.0,9.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,9.0,0.0
"CRESSIDA_DIOMEDES",447,45.0,5.0,5.0,0.0,20.0,16.0,6.0,59.0,8.0,1.0,27.0,21.0,1.0,17.0,4.0,7.0,0.0,0.0,11.0,0.0,39.0,2.0,0.0,18.0,21.0,16.0,0.0,1.0,1.0,40.0,2.0,2.0,22.0,1.0,7.0,0.0,6.0,2.0,3.0,0.0,0.0,39.0,48.0,2.0,0.0,65.0,169.0,0.0,3.0,3.0,2.0,0.0,4.0,1.0,16.0,11.0,3.0,1.0,20.0,0.0,11.0,0.0,2.0,5.0
"AGAMEMNON_NESTOR",1477,117.0,2.0,52.0,3.0,40.0,26.0,28.0,117.0,41.0,10.0,111.0,28.0,8.0,135.0,12.0,27.0,38.0,1.0,73.0,3.0,75.0,14.0,8.0,56.0,75.0,27.0,1.0,1.0,7.0,76.0,7.0,17.0,2.0,7.0,19.0,3.0,33.0,6.0,19.0,0.0,3.0,171.0,166.0,4.0,2.0,157.0,555.0,7.0,18.0,21.0,5.0,3.0,54.0,4.0,22.0,18.0,53.0,4.0,23.0,4.0,64.0,4.0,19.0,3.0
"HELENUS_TROILUS",38,5.0,0.0,2.0,0.0,1.0,8.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,18.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
"ULYSSES_ALL",305,25.0,1.0,17.0,0.0,8.0,12.0,6.0,19.0,10.0,2.0,33.0,2.0,4.0,29.0,3.0,9.0,3.0,0.0,18.0,1.0,8.0,1.0,1.0,15.0,17.0,4.0,0.0,1.0,1.0,15.0,3.0,5.0,6.0,0.0,5.0,0.0,4.0,2.0,1.0,0.0,0.0,36.0,39.0,0.0,1.0,33.0,115.0,1.0,2.0,4.0,1.0,0.0,7.0,3.0,2.0,8.0,18.0,1.0,5.0,1.0,20.0,0.0,2.0,3.0
"DIOMEDES_CALCHAS",273,16.0,0.0,4.0,1.0,15.0,15.0,1.0,28.0,2.0,2.0,21.0,7.0,2.0,14.0,2.0,4.0,0.0,0.0,4.0,1.0,23.0,1.0,0.0,7.0,14.0,5.0,0.0,0.0,6.0,11.0,0.0,2.0,6.0,1.0,2.0,1.0,3.0,2.0,3.0,0.0,1.0,16.0,19.0,0.0,1.0,31.0,92.0,0.0,3.0,2.0,0.0,1.0,4.0,0.0,9.0,5.0,3.0,0.0,6.0,0.0,11.0,0.0,7.0,1.0
"AGAMEMNON_CRESSIDA",250,12.0,0.0,6.0,0.0,9.0,5.0,5.0,20.0,10.0,2.0,16.0,4.0,0.0,24.0,3.0,5.0,2.0,0.0,9.0,0.0,14.0,1.0,3.0,14.0,17.0,2.0,0.0,0.0,0.0,14.0,0.0,4.0,1.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,21.0,22.0,2.0,1.0,21.0,90.0,2.0,5.0,1.0,2.0,1.0,10.0,1.0,3.0,5.0,2.0,0.0,3.0,1.0,7.0,0.0,3.0,0.0
"DEIPHOBUS_DIOMEDES",12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACHILLES_ULYSSES",640,43.0,4.0,19.0,2.0,21.0,19.0,15.0,62.0,16.0,1.0,51.0,17.0,2.0,49.0,4.0,13.0,0.0,1.0,20.0,5.0,40.0,1.0,6.0,27.0,35.0,22.0,1.0,3.0,8.0,42.0,5.0,9.0,15.0,1.0,9.0,2.0,15.0,5.0,5.0,0.0,1.0,51.0,73.0,0.0,0.0,64.0,233.0,1.0,8.0,10.0,6.0,1.0,14.0,12.0,10.0,15.0,5.0,7.0,17.0,1.0,30.0,1.0,8.0,1.0
"THERSITES_TROILUS",390,24.0,3.0,4.0,0.0,9.0,12.0,7.0,36.0,10.0,7.0,18.0,4.0,2.0,21.0,3.0,11.0,0.0,0.0,8.0,1.0,24.0,3.0,2.0,8.0,17.0,8.0,0.0,0.0,2.0,17.0,1.0,4.0,5.0,2.0,6.0,4.0,2.0,2.0,3.0,0.0,1.0,31.0,39.0,0.0,0.0,33.0,133.0,1.0,1.0,3.0,1.0,0.0,21.0,2.0,14.0,8.0,19.0,1.0,5.0,1.0,13.0,1.0,9.0,4.0
"CRESSIDA_PANDARUS",1817,130.0,5.0,43.0,2.0,58.0,46.0,51.0,185.0,29.0,16.0,121.0,40.0,8.0,130.0,27.0,45.0,6.0,1.0,48.0,2.0,126.0,14.0,8.0,68.0,103.0,37.0,2.0,2.0,36.0,102.0,8.0,20.0,55.0,5.0,18.0,6.0,31.0,11.0,26.0,1.0,6.0,142.0,170.0,4.0,14.0,188.0,678.0,9.0,28.0,23.0,11.0,9.0,70.0,22.0,32.0,53.0,34.0,3.0,35.0,7.0,75.0,7.0,34.0,12.0
"ALL_AENEAS",6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"DIOMEDES_AGAMEMNON",131,5.0,0.0,1.0,0.0,1.0,3.0,2.0,13.0,1.0,3.0,5.0,1.0,2.0,9.0,2.0,1.0,0.0,0.0,3.0,1.0,9.0,1.0,0.0,6.0,9.0,2.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,7.0,11.0,0.0,1.0,6.0,36.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,4.0,4.0,3.0,1.0,3.0,0.0,5.0,0.0,3.0,0.0
"AJAX_HECTOR",143,13.0,0.0,3.0,0.0,1.0,3.0,2.0,13.0,2.0,2.0,9.0,8.0,1.0,8.0,0.0,1.0,4.0,0.0,6.0,1.0,8.0,0.0,0.0,6.0,10.0,4.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,2.0,4.0,0.0,3.0,3.0,3.0,0.0,2.0,19.0,19.0,0.0,3.0,14.0,50.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,3.0,6.0,1.0,1.0,3.0,0.0,3.0,1.0,4.0,0.0
"HELENUS_PARIS",38,5.0,0.0,2.0,0.0,1.0,8.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,18.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
"TROILUS_MENELAUS",101,14.0,2.0,2.0,0.0,1.0,2.0,2.0,8.0,2.0,0.0,6.0,6.0,0.0,7.0,2.0,4.0,1.0,0.0,2.0,1.0,5.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,13.0,4.0,0.0,0.0,15.0,34.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0
"CRESSIDA_AJAX",87,9.0,0.0,0.0,0.0,1.0,3.0,0.0,17.0,1.0,0.0,4.0,6.0,1.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,7.0,0.0,0.0,10.0,34.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,3.0,0.0,5.0,0.0,0.0,3.0
"ACHILLES_AJAX",545,42.0,3.0,8.0,1.0,9.0,20.0,6.0,42.0,8.0,2.0,38.0,25.0,5.0,25.0,3.0,8.0,2.0,2.0,14.0,1.0,25.0,2.0,0.0,18.0,25.0,10.0,1.0,1.0,7.0,28.0,5.0,6.0,13.0,3.0,6.0,1.0,10.0,4.0,3.0,0.0,1.0,45.0,51.0,0.0,0.0,51.0,166.0,0.0,6.0,6.0,3.0,0.0,19.0,4.0,7.0,15.0,2.0,2.0,6.0,1.0,18.0,0.0,7.0,0.0
"AJAX_ACHILLES",301,25.0,0.0,6.0,0.0,2.0,7.0,5.0,22.0,3.0,2.0,20.0,16.0,1.0,17.0,0.0,7.0,4.0,0.0,11.0,1.0,13.0,1.0,0.0,7.0,15.0,4.0,0.0,0.0,1.0,13.0,0.0,7.0,3.0,4.0,4.0,0.0,7.0,7.0,4.0,1.0,2.0,29.0,28.0,0.0,3.0,27.0,88.0,1.0,1.0,5.0,1.0,0.0,7.0,2.0,7.0,9.0,3.0,1.0,3.0,0.0,8.0,1.0,8.0,0.0
"ULYSSES_AJAX",1267,107.0,8.0,51.0,2.0,29.0,27.0,24.0,99.0,27.0,11.0,96.0,16.0,8.0,118.0,14.0,37.0,11.0,0.0,46.0,6.0,64.0,7.0,5.0,52.0,70.0,22.0,1.0,1.0,10.0,59.0,5.0,25.0,10.0,3.0,12.0,3.0,19.0,10.0,19.0,1.0,2.0,152.0,122.0,0.0,3.0,136.0,470.0,4.0,12.0,8.0,4.0,2.0,40.0,9.0,22.0,24.0,83.0,3.0,22.0,3.0,60.0,0.0,18.0,8.0
"AGAMEMNON_ALL",225,12.0,0.0,6.0,0.0,8.0,5.0,4.0,20.0,10.0,2.0,16.0,4.0,0.0,22.0,3.0,5.0,2.0,0.0,8.0,0.0,14.0,1.0,3.0,11.0,14.0,1.0,0.0,0.0,0.0,14.0,0.0,4.0,1.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,17.0,20.0,2.0,0.0,20.0,84.0,2.0,5.0,1.0,0.0,1.0,8.0,1.0,3.0,5.0,2.0,0.0,2.0,1.0,7.0,0.0,3.0,0.0
"NESTOR_AGAMEMNON",1282,93.0,5.0,47.0,5.0,26.0,33.0,27.0,93.0,24.0,10.0,88.0,24.0,11.0,118.0,4.0,28.0,15.0,0.0,38.0,4.0,64.0,5.0,11.0,38.0,61.0,13.0,0.0,0.0,17.0,51.0,8.0,13.0,14.0,5.0,11.0,4.0,13.0,13.0,20.0,1.0,1.0,121.0,105.0,1.0,2.0,119.0,453.0,9.0,10.0,10.0,6.0,1.0,54.0,11.0,15.0,30.0,37.0,5.0,10.0,7.0,46.0,3.0,23.0,5.0
"HECTOR_HELENUS",1170,100.0,11.0,36.0,1.0,39.0,24.0,28.0,86.0,30.0,9.0,67.0,33.0,16.0,103.0,10.0,26.0,13.0,1.0,27.0,3.0,58.0,9.0,9.0,53.0,80.0,19.0,1.0,0.0,13.0,49.0,6.0,16.0,30.0,5.0,10.0,2.0,7.0,9.0,16.0,1.0,5.0,113.0,123.0,6.0,15.0,139.0,443.0,11.0,12.0,23.0,6.0,4.0,39.0,8.0,16.0,26.0,15.0,9.0,22.0,6.0,37.0,7.0,27.0,2.0
"AJAX_TROILUS",153,15.0,0.0,3.0,0.0,1.0,3.0,2.0,14.0,2.0,2.0,9.0,8.0,1.0,9.0,0.0,1.0,4.0,0.0,7.0,1.0,9.0,0.0,0.0,6.0,12.0,4.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,2.0,4.0,0.0,3.0,4.0,3.0,0.0,2.0,21.0,20.0,0.0,3.0,16.0,53.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,6.0,2.0,1.0,3.0,0.0,3.0,1.0,6.0,0.0
"DIOMEDES_ACHILLES",60,3.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,1.0,2.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,3.0,15.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
"AENEAS_HECTOR",184,8.0,0.0,6.0,1.0,6.0,3.0,4.0,21.0,7.0,1.0,11.0,4.0,3.0,13.0,0.0,4.0,0.0,0.0,5.0,0.0,13.0,1.0,2.0,9.0,9.0,4.0,1.0,0.0,1.0,12.0,8.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,6.0,0.0,0.0,12.0,21.0,1.0,0.0,14.0,73.0,2.0,3.0,2.0,1.0,0.0,7.0,1.0,5.0,3.0,2.0,0.0,3.0,0.0,9.0,0.0,0.0,1.0
"TROILUS_PANDARUS",1655,122.0,8.0,56.0,1.0,41.0,40.0,35.0,123.0,25.0,17.0,111.0,22.0,15.0,160.0,8.0,41.0,18.0,1.0,59.0,5.0,87.0,11.0,15.0,56.0,102.0,20.0,4.0,1.0,9.0,75.0,4.0,18.0,36.0,3.0,15.0,3.0,15.0,24.0,15.0,0.0,5.0,126.0,174.0,2.0,3.0,163.0,594.0,10.0,31.0,19.0,8.0,5.0,53.0,6.0,24.0,42.0,32.0,7.0,19.0,7.0,77.0,7.0,44.0,13.0
